PROGRAM,PRINCPIAL INVESTIGATOR,INSTITUTE,STATUS,MODEL,MODEL_DETAIL,BASIN,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,STATION,DEPLOYMENT SHIP,IMEI,REF,SERIAL NUMBER
Argo Canada,Blair Greenan,SAEON,FAILED,ARVOR,ARVOR_SBE,IND,2024-06-25T21:42:00,-35.5335,28.7671,,AGULHAS II,300534063892270,4902653,AI2600-23CA001
Argo Canada,Blair Greenan,SAEON,OPERATIONAL,ARVOR,ARVOR_SBE,IND,2024-06-26T02:20:00,-35.0124,27.7382,,AGULHAS II,300534064005990,4902649,AI2632-23CA001
Argo Canada,Blair Greenan,SAEON,OPERATIONAL,ARVOR,ARVOR_SBE,IND,2024-06-26T06:30:00,-34.4887,26.6715,,AGULHAS II,300534063799390,4902656,AI2600-23CA004
Argo Canada,Blair Greenan,BIO,OPERATIONAL,PROVOR,PROVOR_CTS4,ATL,2024-10-14T22:21:00,42.4759,-61.4261,LL_09,DISCOVERY,300125010910310,4902674,P41305-23CA001
Argo Canada,Blair Greenan,BIO,OPERATIONAL,PROVOR,PROVOR_CTS4,ATL,2024-10-16T15:19:00,43.2057,-57.5132,HL_07,DISCOVERY,300125010912280,4902678,P41305-23CA005
Argo Canada,Blair Greenan,BIO,OPERATIONAL,ARVOR,ARVOR_SBE,SOU,2025-02-27T11:41:00,-59.3717,-61.1233,,MARGARET BROOKE,300534064692390,4902694,AI2600-24CA003
Argo Canada,Blair Greenan,BIO,OPERATIONAL,ARVOR,ARVOR_SBE,SOU,2025-02-27T23:48:00,-55.9222,-58.6032,,MARGARET BROOKE,300534064594850,4902703,AI2600-24CA012
Argo Canada,Blair Greenan,BIO,OPERATIONAL,ARVOR,ARVOR_SBE,SOU,2025-02-04T03:15:00,-74.8042,-175.2108,,TANGAROA,300534064596830,4902698,AI2600-24CA007
Argo Canada,Blair Greenan,BIO,OPERATIONAL,ARVOR,ARVOR_SBE,SOU,2025-02-03T19:02:00,-73.5893,-172.3885,,TANGAROA,300534064593840,4902704,AI2600-24CA013
Argo Canada,Blair Greenan,BIO,OPERATIONAL,ARVOR,ARVOR_SBE,ATL,2025-04-06T11:40:00,42.4705,-61.4103,LL_09,ENDEAVOR,300534064691430,4902699,AI2600-24CA008
Argo Canada,Blair Greenan,BIO,OPERATIONAL,ARVOR,ARVOR_SBE,ATL,2025-04-11T10:58:00,43.4719,-57.4984,HL_07,ENDEAVOR,300534063214380,4902702,AI2600-24CA011
Argo Canada,Blair Greenan,BIO,OPERATIONAL,ARVOR,ARVOR_SBE,ATL,2025-05-06T13:10:00,57.7999,-51.3416,,L'ATALANTE,300534064794170,4902692,AI2600-24CA001
Argo Canada,Blair Greenan,BIO,OPERATIONAL,ARVOR,ARVOR_SBE,ATL,2025-05-10T22:24:00,60.4169,-55.0143,,L'ATALANTE,300534064797180,4902693,AI2600-24CA002
Argo Canada,Blair Greenan,BIO,OPERATIONAL,ARVOR,ARVOR_SBE,ATL,2025-05-11T18:32:00,60.1276,-53.7474,,L'ATALANTE,300534064592830,4902695,AI2600-24CA004
Argo Canada,Blair Greenan,BIO,OPERATIONAL,ARVOR,ARVOR_SBE,ATL,2025-05-12T01:58:00,60.1547,-53.7445,,L'ATALANTE,300534064690430,4902696,AI2600-24CA005
Argo Canada,Blair Greenan,BIO,OPERATIONAL,ARVOR,ARVOR_SBE,ATL,2025-05-11T05:00:00,60.4509,-55.0101,,L'ATALANTE,300534064691390,4902700,AI2600-24CA009
Argo Canada,Blair Greenan,BIO,OPERATIONAL,ARVOR,ARVOR_SBE,ATL,2025-05-05T04:44:00,57.3772,-51.7893,,L'ATALANTE,300534064592810,4902701,AI2600-24CA010
Argo Canada,Blair Greenan,BIO,OPERATIONAL,ARVOR,ARVOR_SBE,SOU,2026-01-07T01:18:00,-67.07143,171.21884,,LAURA BASSI,300534064599850,4902697,AI2600-24CA006
Argo Canada,Blair Greenan,BIO,AVAILABLE,PROVOR,PROVOR_CTS4,,,,,,,300125061376210,4902621,P41305-22CA002
Argo UVic,Roberta Hamme,IOS,OPERATIONAL,PROVOR,PROVOR_CTS5,PAC,2025-05-05T20:49:00,49.5690,-138.6588,,JOHN P. TULLY,300125062909910,4902690,P53875-23CA001
Argo Canada,Blair Greenan,IOS,OPERATIONAL,PROVOR,PROVOR_CTS4+pH,PAC,2025-05-05T21:03:00,49.5680,-138.6624,,JOHN P. TULLY,300125061277090,4902629,P43205-22CA004
Argo Canada,Blair Greenan,IOS,OPERATIONAL,PROVOR,PROVOR_CTS4,PAC,2025-05-07T21:43:00,49.9947,-144.9968,,JOHN P. TULLY,300125010014550,4902681,P44168-23CA003
Argo Canada,Blair Greenan,IOS,OPERATIONAL,PROVOR,PROVOR_CTS4,PAC,2025-05-04T15:02:00,49.2999,-134.6645,,JOHN P. TULLY,300125061694570,4902683,P44168-23CA005
Argo Canada,Roberta Hamme,IOS,OPERATIONAL,PROVOR,PROVOR_CTS5,PAC,2025-05-10T15:24:00,49.2483,-130.6659,,JOHN P. TULLY,300125062907910,4902691,P53875-23CA002
Argo ONC,Kohen Bauer,ONC,OPERATIONAL,Deep ARVOR,ARVOR_D,PAC,2025-05-17T02:28:00,48.4428,-137.6455,,SIR WILFRID LAURIER,300534063504940,4902645,AD2700-22CA003
Argo ONC,Kohen Bauer,ONC,OPERATIONAL,Deep ARVOR,ARVOR_D,PAC,2025-05-17T16:20:00,48.0023,-141.4823,,SIR WILFRID LAURIER,300534063506950,4902646,AD2700-22CA004
