PROGRAM,PRINCPIAL INVESTIGATOR,INSTITUTE,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,STATION,DEPLOYMENT SHIP,IMEI,REF,SERIAL NUMBER,MODEL
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-11T10:30:00,55.73533,-39.04283,,LOUIS S. ST. LAURENT,300125063310200,4902728,P5389A-25CA003,PROVOR_V
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-11T19:13:00,56.94591,-39.91054,,LOUIS S. ST. LAURENT,300125063315260,4902720,P5389A-25CA005,PROVOR_V
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-12T14:25:00,58.68388,-32.64237,,LOUIS S. ST. LAURENT,300125063414050,4902723,P5389B-25CA005,PROVOR_V
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-10T15:40:00,52.87044,-43.90057,,LOUIS S. ST. LAURENT,300125063413300,4902721,P5389A-25CA006,PROVOR_V
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-09T23:38:00,50.30138,-44.955,,LOUIS S. ST. LAURENT,300125063213730,4902724,P5389B-25CA006,PROVOR_V
